Participant.ID,PRE.POST,Trial_type,LR_recipmodel,inv_recipmodel,Excl_LR,Excl_Inv
P035,NA,Loss,0.033907441,2.019699162,0.037361621,1.908003428
P036,NA,Loss,0.032500391,1.877407826,0.032426489,1.68351501
P037,NA,Loss,0.03775553,2.295083489,0.033134559,2.181319168
P038,NA,Loss,0.302788254,-0.145204319,0.548374839,-0.358236618
P039,NA,Loss,0.468175869,0.229962651,0.315716127,0.061066788
P040,NA,Loss,0.280683645,-0.196802107,0.313040632,-0.242242689
P041,NA,Loss,0.330999532,-1.633643891,0.315825145,-1.568936762
P042,NA,Loss,0.033215077,2.88279592,0.032151861,2.722813239
P043,NA,Loss,0.02784565,2.884145088,0.026659159,2.727291386
P044,NA,Loss,0.124977188,0.848719492,0.043222062,3.083245535
P045,NA,Loss,0.087736096,1.771165353,0.104995207,1.63983743
P046,NA,Loss,0.021874738,2.599281843,0.021568012,2.384857559
P047,NA,Loss,0.03854905,1.614130219,0.032695634,1.671838295
P048,NA,Loss,0.07881175,1.452948251,0.07752843,1.631623088
P049,NA,Loss,0.025815855,2.539659713,0.030081562,2.48805945
P050,NA,Loss,0.515404959,-0.781270376,0.304393631,-0.586586743
P051,NA,Loss,0.77880194,-0.29612567,0.490964987,-0.704573017
P052,NA,Loss,0.8899434,-0.624539648,0.709285693,-0.966917985
P054,NA,Loss,0.490283334,0.479321454,0.330906249,1.108667987
P055,NA,Loss,0.769415472,0.583241567,0.753679165,0.349682984
P056,NA,Loss,0.039577745,1.812663966,0.039141546,1.811477063
P057,NA,Loss,0.040091875,1.399497523,0.116910706,1.26186109
P058,NA,Loss,0.127533265,0.592241766,0.127765288,0.322789457
P059,NA,Loss,0.290475716,-1.728974358,0.212577511,-1.690471617
