Participant.ID,PRE.POST,Trial_type,LR_recipmodel,inv_recipmodel,Excl10_LR,Excl10_Inv,Optimal.choice,Response.time,Optimal.choice.perc,response.time.corr
P054,NA,Win,0.022076997,3.993260183,0.021845984,4.084376118,36,888.0175439,63.15789474,845.4444444
P055,NA,Win,0.12118018,3.115327776,0.094179508,3.155026247,55,886.9122807,96.49122807,866.6727273
P056,NA,Win,0.020564357,3.931633859,0.023904752,3.940071105,34,840.557377,55.73770492,964.5882353
P057,NA,Win,0.215488931,2.493872975,0.2298698,2.531942157,57,713.1,95,697.754386
P058,NA,Win,0.029279247,4.135133054,0.114877245,4.642961483,61,713.9836066,100,713.9836066
P059,NA,Win,0.120340415,1.565682152,0.115731174,1.693323066,40,840.7966102,67.79661017,784.35
P001,NA,Loss,0.222828575,0.67176486,0.762267851,0.183321581,47,811.2857143,83.92857143,773.212766
P002,NA,Loss,0.225329313,-0.761163644,-0.754855642,0.259808587,23,1252.125,57.5,1227.130435
P003,NA,Loss,0.189911527,-1.432663909,-1.450897553,0.231752536,26,740.88,52,675.3461538
P004,NA,Loss,0.082278596,-0.089994365,-0.031002491,0.13687552,37,1119.265306,75.51020408,1066.162162
P005,NA,Loss,0.937502099,0.498110517,0.414384233,0.934889626,20,1607.36,80,1608.55
P006,NA,Loss,0.540829774,-0.600209631,-0.604560339,0.490672545,36,840.4727273,65.45454545,880.9166667
P007,NA,Loss,0.454485938,-0.031335777,0.008356466,0.625188257,45,1157.157895,78.94736842,1086.666667
P008,NA,Loss,0.021308671,1.520428335,1.501297009,0.025468516,47,919.3818182,85.45454545,915.7446809
P009,NA,Loss,0.648019849,-0.302196608,-0.546528654,0.602777972,36,1083.788462,69.23076923,1115.083333
P010,NA,Loss,0.40461749,-1.427472434,-1.392287866,0.46611558,31,1344.425926,57.40740741,1339.548387
P011,NA,Loss,0.026512279,1.985987655,1.638324786,0.105960048,59,551.1269841,93.65079365,541.9830508
