"","rt","response","subj_idx","condition","correct","stim","Allocation"
"82",0.502058015063085,"0","P001","3-back",1,"0","ACTIVE"
"83",0.540276695257489,"0","P001","3-back",1,"0","ACTIVE"
"84",0.556680166981096,"0","P001","1-back",1,"0","ACTIVE"
"85",0.388186987322115,"1","P001","1-back",1,"1","ACTIVE"
"86",0.321935199739528,"0","P001","1-back",1,"0","ACTIVE"
"87",0.37347732699709,"0","P001","2-back",1,"0","ACTIVE"
"88",0.442872587187594,"0","P001","2-back",1,"0","ACTIVE"
"89",0.418764855061454,"0","P001","2-back",1,"0","ACTIVE"
"90",0.409337547436735,"0","P001","2-back",1,"0","ACTIVE"
"91",0.395107789976464,"0","P001","2-back",1,"0","ACTIVE"
"92",0.378776474743063,"0","P001","2-back",1,"0","ACTIVE"
"93",0.427991866221419,"1","P001","2-back",1,"1","ACTIVE"
"94",0.467591783366515,"0","P001","2-back",0,"1","ACTIVE"
"95",0.624091434714501,"0","P001","2-back",1,"0","ACTIVE"
"96",0.518598335300339,"0","P001","2-back",1,"0","ACTIVE"
"97",0.388168948200473,"0","P001","0-back",1,"0","ACTIVE"
"98",0.354255086876947,"1","P001","0-back",1,"1","ACTIVE"
"99",0.366471616060153,"0","P001","0-back",1,"0","ACTIVE"
"100",0.326348564365617,"0","P001","0-back",1,"0","ACTIVE"
"101",0.359200916635018,"0","P001","0-back",1,"0","ACTIVE"
"102",0.417279115612473,"0","P001","0-back",1,"0","ACTIVE"
"103",0.364152033722348,"0","P001","0-back",1,"0","ACTIVE"
"104",0.401395357228466,"1","P001","0-back",1,"1","ACTIVE"
"105",0.336601317354507,"0","P001","0-back",1,"0","ACTIVE"
"106",0.5932302283436,"0","P001","0-back",1,"0","ACTIVE"
"107",0.307642927386041,"0","P001","3-back",1,"0","ACTIVE"
"108",0.305507157489046,"0","P001","3-back",1,"0","ACTIVE"
"109",0.312435735624604,"0","P001","3-back",1,"0","ACTIVE"
"110",0.404341021527216,"0","P001","3-back",1,"0","ACTIVE"
"111",0.48183989097015,"1","P001","3-back",1,"1","ACTIVE"
"112",0.365020088738675,"0","P001","3-back",1,"0","ACTIVE"
"113",0.419927134385944,"1","P001","3-back",1,"1","ACTIVE"
"114",0.396705185376049,"0","P001","3-back",1,"0","ACTIVE"
"115",0.568774154540733,"1","P001","3-back",1,"1","ACTIVE"
"116",0.353254848636425,"0","P001","3-back",1,"0","ACTIVE"
"117",0.313485736962321,"0","P001","2-back",1,"0","ACTIVE"
"118",0.364925227837375,"0","P001","2-back",1,"0","ACTIVE"
"119",0.337267520808382,"1","P001","2-back",1,"1","ACTIVE"
"120",0.361115240757499,"0","P001","2-back",1,"0","ACTIVE"
"121",0.514625063060521,"0","P001","1-back",1,"0","ACTIVE"
"122",0.481329197191371,"1","P001","1-back",0,"0","ACTIVE"
"123",0.393616141158418,"0","P001","1-back",1,"0","ACTIVE"
"124",0.570271401706123,"1","P001","2-back",0,"0","ACTIVE"
"125",0.502922959884017,"0","P001","2-back",1,"0","ACTIVE"
"126",0.467292582747177,"1","P001","2-back",1,"1","ACTIVE"
"127",0.605246772087412,"1","P001","2-back",1,"1","ACTIVE"
"128",0.287855565100472,"0","P001","3-back",1,"0","ACTIVE"
"129",0.383546267548809,"0","P001","3-back",1,"0","ACTIVE"
"130",0.32038507928155,"0","P001","3-back",1,"0","ACTIVE"
"131",0.462402425455366,"0","P001","3-back",1,"0","ACTIVE"
"132",0.70815685576963,"0","P001","3-back",1,"0","ACTIVE"
"133",0.56798167722809,"0","P001","3-back",1,"0","ACTIVE"
"134",0.52365333284979,"0","P001","3-back",1,"0","ACTIVE"
"135",0.520882772452751,"1","P001","3-back",1,"1","ACTIVE"
"136",0.488517476489505,"0","P001","3-back",1,"0","ACTIVE"
"137",0.791878289419401,"1","P001","3-back",1,"1","ACTIVE"
"138",0.375168650243722,"0","P001","0-back",0,"1","ACTIVE"
"139",0.359826065538073,"0","P001","0-back",1,"0","ACTIVE"
"140",0.451395450534619,"0","P001","0-back",1,"0","ACTIVE"
"141",0.426438946589769,"0","P001","0-back",1,"0","ACTIVE"
"142",0.360863004061684,"0","P001","2-back",1,"0","ACTIVE"
"143",0.623139093455393,"1","P001","2-back",0,"0","ACTIVE"
"144",0.341097413125681,"0","P001","0-back",1,"0","ACTIVE"
"145",0.436515973644418,"1","P001","0-back",1,"1","ACTIVE"
"146",0.392876226113003,"0","P001","0-back",1,"0","ACTIVE"
"147",0.523025384776702,"1","P001","0-back",1,"1","ACTIVE"
"148",0.327830882604758,"0","P001","2-back",1,"0","ACTIVE"
"149",0.343282635105425,"0","P001","2-back",1,"0","ACTIVE"
"150",0.369340458579245,"0","P001","2-back",1,"0","ACTIVE"
"151",0.442771816920867,"0","P001","2-back",1,"0","ACTIVE"
"152",0.411696629231301,"0","P001","2-back",1,"0","ACTIVE"
"153",0.345752439792705,"1","P001","2-back",1,"1","ACTIVE"
"154",0.470454716516542,"0","P001","2-back",0,"1","ACTIVE"
"155",0.335945066519344,"1","P001","1-back",1,"1","ACTIVE"
"156",0.312643807574204,"0","P001","1-back",1,"0","ACTIVE"
"157",0.760414638560178,"1","P001","2-back",1,"1","ACTIVE"
"158",0.674236463037232,"0","P001","1-back",1,"0","ACTIVE"
"159",0.453829176974978,"0","P001","2-back",1,"0","ACTIVE"
