subj_idx,condition,a,st,sv,t,v
P001,0-back,0.5652494079006062,0.184132537501188,2.4128908056320717,0.1303463685026207,0.828667960422852
P001,1-back,0.5394564789320557,0.2009766028081552,1.918835444736053,0.1514744469850075,0.2986432912299449
P001,2-back,0.5228392393921258,0.1599008143117738,1.8144679039413496,0.127371667017782,0.1061329366277994
P001,3-back,0.5860051391528712,0.1713767979027389,1.925011928777836,0.1259580966522631,0.3458466654271467
P002,0-back,0.5835314006259766,0.2122430764478861,2.066407212382917,0.1451863737525108,1.1058117862634875
P002,1-back,0.5456728843097751,0.1779738274731215,1.6777150501081604,0.140165979884186,0.8893924010741783
P002,2-back,0.4659604770766157,0.2001922919721636,1.969643304500098,0.1533533783358216,0.3982005981444101
P002,3-back,0.5564417961054406,0.1763356065582698,1.84466080293203,0.1262472468756446,0.6745139146756314
P003,0-back,0.4992121944541153,0.1957442447550945,1.92356615006044,0.1500603949222924,0.4799421777304169
P003,1-back,0.5332984158170391,0.1904821324515087,1.7827013658248303,0.1417965963283246,0.5836020474412356
P003,2-back,0.4829402622956102,0.2056648177101182,1.6476218967320495,0.1579894589087644,0.9382874355362488
P003,3-back,0.5924065068760653,0.1716334758181902,2.43324845791614,0.1442852214976311,0.553584317005711
P004,0-back,0.4884053966647699,0.2135686629357693,1.913952275208787,0.1572609705604315,0.4928147374315285
P004,1-back,0.5975401086405259,0.1628882261657123,1.682758808726247,0.1246683722084634,0.6978754145406402
P004,2-back,0.5042570726829962,0.2031132762890032,1.876798453351384,0.1576451501020381,-0.1207149765780777
P004,3-back,0.594831303398541,0.1981794516527372,1.904950992574918,0.1409055691314612,1.0127342840205973
P005,0-back,0.5410316528727973,0.1803972215915499,1.832815479265813,0.1565453420504623,1.161144889208168
P005,1-back,0.490738221980274,0.1880318315993141,1.7320305414681625,0.1476492670994237,0.8542319560064707
P005,2-back,0.4366228652656822,0.2036320144284706,2.613267007316072,0.1604390701465748,2.311402351880462
P005,3-back,0.3693074207046908,0.2608860181462192,1.70685497141606,0.181184284986502,0.9275712549401746
P006,0-back,0.4423046259710912,0.2088649349612299,1.8821572404100888,0.1607812032488106,1.934424031057722
P006,1-back,0.4459734768125182,0.1946150035793104,1.7215566223426095,0.1665351642842174,0.3264100755283077
P006,2-back,0.4518173238993775,0.2008339846792958,1.7697853609261287,0.1495398747246284,1.02077607174344
P006,3-back,0.5371044606783837,0.193805398567045,1.995072491627233,0.1458214305980348,0.4874271550082642
P007,0-back,0.3921270270133614,0.2437251636212632,1.795455789726177,0.165976701665679,0.2348788829182194
P007,1-back,0.5006102783521837,0.2071789099304326,1.816732774172989,0.1528990260539754,0.6162593384777032
P007,2-back,0.5043408445015074,0.1966561751112985,1.8145938104070845,0.1477104770465876,0.6727099538900826
P007,3-back,0.5829782059005295,0.1458278266501028,1.822694339192776,0.1176320088385486,0.8617795285021308
P008,0-back,0.5801457763477392,0.1629638035951463,1.97078644480002,0.1321932119818503,1.5199723285725804
P008,1-back,0.5521981039248586,0.1962160263492957,1.8896787529184604,0.1418516795077726,-0.014412326014061
P008,2-back,0.5567046218538958,0.189046414455295,2.0196116363665007,0.146997589969669,1.2101654544292628
P008,3-back,0.5430913186367945,0.181847094126264,1.8693163862937527,0.1415332543631229,0.2561334569989982
P009,0-back,0.47425230179088,0.1937701951477658,2.172859116057426,0.1548209935918973,0.9819637307403628
P009,1-back,0.5309799417117637,0.1727161739583235,2.0479841340207807,0.1536369194812897,0.7277888113196903
P009,2-back,0.4793302819273263,0.1986944485160178,1.7311581264089195,0.1503916219466083,0.4130517786119696
P009,3-back,0.3267013937732627,0.2064016778067978,1.8320596303376555,0.1760478539155287,0.8633516135772211
P010,0-back,0.5013093748407362,0.2381364688713905,1.909691032559761,0.1642940865613537,-0.2931077789263916
P010,1-back,0.4771222180928207,0.2065172818258746,1.62296287491929,0.1577604132537199,0.8341268784466948
P010,2-back,0.5723998042442703,0.1781191345654073,1.9262364924285775,0.1402754442301589,0.5177116727573086
P010,3-back,0.484173235581762,0.2250317369573991,1.864160096999293,0.1576591264664865,0.1324875967833627
P011,0-back,0.5035991085892303,0.2088343619667473,1.9740080044455943,0.1497924682108444,0.4980275637071881
P011,1-back,0.5878264756776452,0.1893601169077544,1.8280792331333924,0.1423600770882043,0.4283317741619215
P011,2-back,0.4189742582513729,0.2184469641581843,1.939849526774188,0.1639636789449592,1.545604671031506
P011,3-back,0.4985599473393163,0.212232970550234,1.9383385577186736,0.1528310057381073,0.9685429735359216
P012,0-back,0.5341603765291353,0.2247655176488862,1.8082506711547857,0.1480344448422154,0.5739191308637717
P012,1-back,0.537161399994288,0.2053383425964924,2.094467831656728,0.1491514314696298,0.5308441222695831
P012,2-back,0.5457200105692116,0.2267437243131382,2.0999058701099376,0.1528842558957522,0.6043090299460637
P012,3-back,0.4925067106571113,0.2124771144792092,2.0367419810945666,0.1498653342364812,1.771932062323287
P013,0-back,0.5180681772305772,0.1966701558238853,1.950040371912658,0.1461546376312472,0.6459345251736238
P013,1-back,0.5198110023222875,0.1937245304632886,1.7280227467054672,0.1462881105930005,0.912845168907435
P013,2-back,0.5516414360184753,0.1765206797351218,1.8785997665879837,0.1353692060747431,0.3973848941931431
P013,3-back,0.4672297904029043,0.1995658587202353,1.8599681096446703,0.1621644950800264,0.5001685714713443
P014,0-back,0.5207180596847475,0.1691823208121496,2.1083471935713534,0.1290984538357116,1.0845916507099431
P014,1-back,0.5475324038752553,0.2121305297345396,1.648683995853965,0.158118706978951,0.8379226973857136
P014,2-back,0.5310644904280155,0.2157857737120964,1.998287777186888,0.150793114391623,0.4688479294356226
P014,3-back,0.381804113011862,0.2155351126996098,2.005320107681668,0.1629620730176195,0.3468885255124416
P015,0-back,0.5836063660455536,0.1637184648455064,2.019659638922572,0.1334060800527587,0.948346737706562
P015,1-back,0.5664431925354608,0.2189586108382615,2.5657212838890864,0.1530938954753331,1.8492053146979048
P015,2-back,0.5064194909719387,0.2182160011780591,1.708491116048826,0.150842720380295,0.6693430964783679
P015,3-back,0.4983777145096529,0.2072350527628244,1.8924970238222645,0.1517718912175077,0.1741957522809656
P016,0-back,0.5569371588286272,0.2112594035365755,2.358773688498003,0.1457233376765465,0.968881948076614
P016,1-back,0.4278665577102315,0.2057960729418957,2.0558139019697625,0.1651324643043723,0.664363402035238
P016,2-back,0.5031190390168219,0.188125214969468,1.622349486891005,0.1399297889756659,0.8673246734749366
P016,3-back,0.6822485691721434,0.1955395706856546,2.2928353681071023,0.1273648662665813,0.8500241158402461
P017,0-back,0.4532877772485203,0.2121897507735856,2.085935296536738,0.1660469691753002,0.6840466331853677
P017,1-back,0.5660905956333917,0.1821258290866322,2.055915839041353,0.1281106882498998,0.6390754857610259
P017,2-back,0.4553047599292317,0.2026928388567679,1.6955656121013207,0.1546178310978498,1.0145170611786385
P017,3-back,0.5144721094701644,0.2000355291920739,2.2163836398029946,0.1541565552798869,0.3027871443317981
P018,0-back,0.5834550531731822,0.188820789650945,2.160972196733397,0.1371210846439143,0.9448324188244076
P018,1-back,0.5315670291701653,0.1477032473546608,2.21740850517947,0.1393813927707976,-0.1449923724930617
P018,2-back,0.532856097928982,0.2090824592623348,2.0864651017366844,0.1439451696081206,1.279174697360299
P018,3-back,0.5905358972400752,0.2145967804057715,1.6400195058681457,0.1428437017615184,0.9126995411444604
P019,0-back,0.5216920620913774,0.1822822703643874,1.8346907279560485,0.1456894692133931,0.4197626696585979
P019,1-back,0.5231761047172865,0.2200133142726102,1.7614190940730672,0.1582149723008717,0.7468641567823489
P019,2-back,0.552799308988574,0.2266339447024567,1.909501476070188,0.1626964118073446,0.1099221756842926
P019,3-back,0.4941631521538343,0.1880505052324791,2.006743584736143,0.1460495874512847,1.3625495963608838
P020,0-back,0.4816423087575603,0.1830425714077806,2.102872349051806,0.1430868104278163,1.0685851392065897
P020,1-back,0.3962959016335859,0.2184086926095632,1.8061713467525295,0.1594119381849455,-0.2985945556293994
P020,2-back,0.4967566164965675,0.1950366346875279,2.07418002900122,0.1486903357954747,0.5930527643861603
P020,3-back,0.4907428569741738,0.1889339564163583,2.06294370762104,0.1501751262385015,1.233627253729329
P021,0-back,0.540215832501486,0.1947042958141709,1.8318769546664453,0.1467938064547806,0.3799697849189246
P021,1-back,0.4463446726985774,0.2112528565290772,1.7230467713868924,0.1546815445563605,0.7710706945744288
P021,2-back,0.5066168491976857,0.1783613326331147,1.8094366607174412,0.1482201397488311,-0.0708798639224641
P021,3-back,0.513472404488971,0.179443703581881,1.8718561409922885,0.1475940754325317,0.7368436412855717
P022,0-back,0.6209439182763349,0.1471173358834995,1.7164670378965992,0.1184660928920699,0.9804476836659932
P022,1-back,0.6097958618948098,0.1567238222292941,2.070264749747053,0.1255301054073597,0.7199626472828476
P022,2-back,0.504271545165896,0.1932132090590727,2.288393941340382,0.151605025028189,0.861660877441412
P022,3-back,0.503709329917255,0.2102972578516602,1.834252791144588,0.1490877800434888,1.013550326794801
P023,0-back,0.4789046789607242,0.2120042536527933,2.047317830922432,0.1545970490672903,1.4841242648121742
P023,1-back,0.5288680614857012,0.1977829416676469,1.8993514473853437,0.1587801129710915,0.8521538041986879
P023,2-back,0.4665745781668791,0.1824717669348867,1.900021721681012,0.1526068522159273,1.0619790907573765
P023,3-back,0.5651942999613545,0.1846862507353959,2.1038734471322886,0.1428217028562369,1.210824590268965
P024,0-back,0.5749913867657226,0.141220278885219,1.740816696503317,0.1260764548249232,0.1954630812693231
P024,1-back,0.5128683200465016,0.1882384041871085,1.817218353052939,0.1499012435103698,0.7506436026413216
P024,2-back,0.5687392597570456,0.1850093819766763,1.9439568892795305,0.13901863415582,0.9460051058945788
P024,3-back,0.512286143942619,0.2168513399144378,2.2612822885172816,0.1520340585907043,0.6334766111855192
P025,0-back,0.5289688730394949,0.1860621540697536,2.1059782405854164,0.1505911991174539,0.3952201167045676
P025,1-back,0.4761074339972702,0.2179058861732072,2.1359587323980147,0.1593049219699329,0.3897980763610774
P025,2-back,0.5272048718077865,0.1929469663283704,1.9179266000628137,0.1489604862358753,0.0276922512230215
P025,3-back,0.5370769784675747,0.1971549842664343,2.02347035007513,0.1506795227916233,0.8167353679275657
P026,0-back,0.5195714212669927,0.2182319113799747,2.3727778023081347,0.159431011981927,1.523060445264311
P026,1-back,0.5787526571535347,0.1843697044585775,2.0446007267299167,0.1490979712396881,0.1219653576131861
