Participant.ID,condition,a,st,sv,t,v,qtarget_corr_acc,qtarget_incorr_acc,qtarget_corr_acc_perc,no_qtarget_incorr_acc,no_qtarget_corr_acc,Overall_acc,Overall_acc_perc,qtarget_adjusted_score,qtarget_adjusted_score_2,log_adjusted_score,log_adjusted_score_2,dprime,beta,aprime,bppd,c,mean_RT_all,mean_RT_qtar,mean_RT_non_qtar
P020,1-back,1.279075608,0.109318616,0.975426268,0.389948182,3.78097615,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,559.6426638,559.6426638,559.6426638
P020,2-back,1.275748345,0.252916004,1.380525643,0.49122855,2.364810989,6,4,60,2,28,34,85,4,28,3.044522438,3.713572067,1.68625936,1.533817856,NA,NA,0.253673882,744.2890603,744.2890603,744.2890603
P020,3-back,0.922033807,0.27564222,1.642458283,0.513544565,2.005396666,4,6,40,3,27,31,77.5,1,22,2.890371758,3.555348061,1.030879819,1.446559807,NA,NA,0.358129225,668.6152113,668.6152113,668.6152113
P021,0-back,1.797837342,0.064098806,1.707035332,0.296234691,4.991358656,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,509.2177506,509.2177506,509.2177506
P021,1-back,1.056469616,0.399823722,1.195825459,0.486208502,3.855189932,10,0,100,2,28,38,95,8,36,3.218875825,3.891820298,2.983804545,6.406763151,NA,NA,0.622478499,617.7740718,617.7740718,617.7740718
P021,2-back,1.483548271,0.276847849,0.532185481,0.722610088,1.73251236,8,2,80,2,28,36,90,6,32,3.135494216,3.80666249,2.148603656,2.016568137,NA,NA,0.326443233,1089.959611,1089.959611,1089.959611
P021,3-back,1.793441038,0.727373366,0.764819911,0.632429004,1.32583007,8,2,80,5,25,33,82.5,3,26,2.995732274,3.663561646,1.61704664,2.381611283,NA,NA,0.536643314,1177.51861,1177.51861,1177.51861
P022,0-back,3.570754276,0.140377222,2.947030935,0.217997369,5.017841774,10,0,100,8,22,32,80,2,24,2.944438979,3.610917913,2.151399053,7.611050446,NA,NA,0.943386674,578.1951002,578.1951002,578.1951002
P022,1-back,3.880874712,0.233101496,1.690704277,0.262793636,2.456620883,10,0,100,10,20,30,75,0,20,2.833213344,3.496507561,1.980752397,7.111335274,NA,NA,0.990376198,907.7540569,907.7540569,907.7540569
P022,2-back,1.533113672,0.531608983,1.207770162,0.632138415,2.547238658,7,3,70,2,28,35,87.5,5,30,3.091042453,3.761200116,1.904348509,1.69690851,NA,NA,0.277684505,944.2090062,944.2090062,944.2090062
P022,3-back,1.708366857,0.422906601,1.911866256,0.482775142,2.374507957,6,4,60,4,26,32,80,2,24,2.944438979,3.610917913,1.287298346,1.703421834,NA,NA,0.413765055,836.6532577,836.6532577,836.6532577
P023,0-back,1.997356515,0.177542455,1.102537241,0.256853869,4.943822257,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,471.9096339,471.9096339,471.9096339
P023,1-back,1.753641201,0.138616377,1.230241356,0.285729146,4.720425544,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,490.9655487,490.9655487,490.9655487
P023,2-back,1.960945394,0.233811391,1.048630336,0.280666598,4.606871536,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,508.8072672,508.8072672,508.8072672
