Participant.ID,condition,a,st,sv,t,v,qtarget_corr_acc,qtarget_incorr_acc,qtarget_corr_acc_perc,no_qtarget_incorr_acc,no_qtarget_corr_acc,Overall_acc,Overall_acc_perc,qtarget_adjusted_score,qtarget_adjusted_score_2,log_adjusted_score,log_adjusted_score_2,dprime,beta,aprime,bppd,c,mean_RT_all,mean_RT_qtar,mean_RT_non_qtar
P042,1-back,1.481347286,0.348417166,0.987208143,0.376578262,2.805935298,10,0,100,2,28,38,95,8,36,3.218875825,3.891820298,2.983804545,6.406763151,NA,NA,0.622478499,646.2418121,646.2418121,646.2418121
P042,2-back,1.645362253,0.209226772,0.981569233,0.363664422,2.200720503,8,2,80,1,29,37,92.5,7,34,3.17805383,3.850147602,2.454230527,1.596761119,NA,NA,0.190681874,739.0468088,739.0468088,739.0468088
P042,3-back,1.68578348,0.506873833,0.75569323,0.374212541,1.693429265,8,2,80,2,28,36,90,6,32,3.135494216,3.80666249,2.148603656,2.016568137,NA,NA,0.326443233,830.489806,830.489806,830.489806
P043,0-back,1.124046878,0.053879995,0.90182674,0.257480852,3.941535813,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,398.5935282,398.5935282,398.5935282
P043,1-back,1.045843387,0.120942407,0.980747093,0.293423255,4.593492317,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,404.4691787,404.4691787,404.4691787
P043,2-back,1.226209434,0.190862619,1.297791066,0.252837613,2.298300059,7,3,70,2,28,35,87.5,5,30,3.091042453,3.761200116,1.904348509,1.69690851,NA,NA,0.277684505,489.8817944,489.8817944,489.8817944
P043,3-back,1.051674229,0.279530972,1.707721282,0.255208761,2.569669829,7,3,70,3,27,34,85,4,28,3.044522438,3.713572067,1.684021252,1.862234035,NA,NA,0.369221505,437.930986,437.930986,437.930986
P044,0-back,1.84024933,0.181886251,0.843672849,0.263111318,2.532403314,8,2,80,0,30,38,95,8,36,3.218875825,3.891820298,3.027418978,0.786071085,NA,NA,-0.079509329,643.1205454,643.1205454,643.1205454
P044,1-back,3.620452415,0.266711552,2.205685937,0.206687923,1.519106197,9,1,90,16,14,23,57.5,-7,6,2.302585093,2.944438979,0.973908434,2.246499238,NA,NA,0.83105668,804.54676,804.54676,804.54676
P044,2-back,3.585382876,0.14920464,2.884128441,0.202271812,1.087293311,6,4,60,14,16,22,55,-8,4,2.197224577,2.833213344,0.294438037,1.208937215,NA,NA,0.644419589,823.027905,823.027905,823.027905
P044,3-back,3.389879566,0.177677141,3.539506636,0.205016085,1.30297932,6,4,60,14,16,22,55,-8,4,2.197224577,2.833213344,0.294438037,1.208937215,NA,NA,0.644419589,728.5882891,728.5882891,728.5882891
P045,0-back,2.074935666,0.220337475,0.727265003,0.417444032,5.558298777,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,608.7562744,608.7562744,608.7562744
P045,1-back,2.112571361,0.329411596,0.759899533,0.358107796,4.969478013,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,583.348292,583.348292,583.348292
P045,2-back,2.182614089,0.530865445,0.719535552,0.546471404,5.371552689,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,774.3495089,774.3495089,774.3495089
P045,3-back,1.431170534,0.624629238,1.961300502,0.440562659,2.045281947,6,4,60,5,25,31,77.5,1,22,2.890371758,3.555348061,1.141066845,1.701691924,NA,NA,0.465899967,746.7899524,746.7899524,746.7899524
P046,0-back,1.56793459,0.101187491,1.029329392,0.229768757,5.031701095,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,391.6989323,391.6989323,391.6989323
P046,1-back,1.224609159,0.163599543,0.929201332,0.289845985,4.089147818,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,438.7637572,438.7637572,438.7637572
P046,2-back,1.435126854,0.363047339,1.479640637,0.36659111,2.571252108,9,1,90,3,27,36,90,6,32,3.135494216,3.80666249,2.243502511,3.116096654,NA,NA,0.506610151,650.5357231,650.5357231,650.5357231
P046,3-back,1.092031851,0.365453681,1.774895972,0.418856251,2.112629684,6,4,60,4,26,32,80,2,24,2.944438979,3.610917913,1.287298346,1.703421834,NA,NA,0.413765055,617.8808836,617.8808836,617.8808836
P047,0-back,2.038452553,0.266191267,0.927233311,0.559048835,5.2056922,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,775.6300243,775.6300243,775.6300243
P047,1-back,2.076595732,0.182009347,0.68743462,0.604289022,4.636285945,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,832.3476653,832.3476653,832.3476653
P047,2-back,1.40851137,0.255704862,0.940073853,0.69739807,2.454841234,9,1,90,2,28,37,92.5,7,34,3.17805383,3.850147602,2.457071428,2.781312249,NA,NA,0.416317913,972.9329982,972.9329982,972.9329982
P047,3-back,0.859541141,0.496058482,1.541289603,0.850094169,2.858334351,9,1,90,5,25,34,85,4,28,3.044522438,3.713572067,1.933913645,3.357298452,NA,NA,0.626261995,988.6796082,988.6796082,988.6796082
P048,0-back,1.236450886,0.053651365,0.830723753,0.278403296,3.428166811,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,457.827563,457.827563,457.827563
P048,1-back,1.268322096,0.124395127,2.419270785,0.295845338,3.75418772,9,1,90,4,26,35,87.5,5,30,3.091042453,3.761200116,2.074876914,3.28846403,NA,NA,0.573730705,481.6635761,481.6635761,481.6635761
P048,2-back,1.409891409,0.290779722,2.423399629,0.349106815,2.110355002,7,3,70,7,23,30,75,0,20,2.833213344,3.496507561,1.128143645,1.88957898,NA,NA,0.564071823,640.4912271,640.4912271,640.4912271
P048,3-back,1.137241322,0.235054953,1.714268759,0.35226471,1.127374568,7,3,70,10,20,27,67.5,-3,14,2.63905733,3.295836866,0.844044058,1.705427856,NA,NA,0.632450423,591.6118453,591.6118453,591.6118453
P049,0-back,1.368298474,0.077485443,1.402674072,0.326634671,5.957019553,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,446.9571499,446.9571499,446.9571499
P049,1-back,1.661468195,0.110839952,1.114226985,0.346360463,5.313221861,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,509.209945,509.209945,509.209945
P049,2-back,0.967290638,0.266145447,1.045182602,0.41237149,2.238657221,5,5,50,1,29,34,85,4,28,3.044522438,3.713572067,1.797908594,1.212814631,NA,NA,0.107315689,578.5623301,578.5623301,578.5623301
P049,3-back,0.99695343,0.161760097,1.92424874,0.382495633,2.849419107,5,5,50,1,29,34,85,4,28,3.044522438,3.713572067,1.797908594,1.212814631,NA,NA,0.107315689,534.1463483,534.1463483,534.1463483
P050,0-back,1.574513937,0.178135478,0.83395937,0.297438981,5.577655223,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,439.7810399,439.7810399,439.7810399
P050,1-back,2.211762838,0.268616182,0.971790917,0.272726731,3.532761745,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,617.1329773,617.1329773,617.1329773
P050,2-back,2.951020246,0.267763234,2.01966534,0.164962644,0.913321753,4,6,40,11,19,23,57.5,-7,6,2.302585093,2.944438979,0.095357588,1.061593606,NA,NA,0.626810956,925.0480184,925.0480184,925.0480184
P050,3-back,1.725774461,0.580079024,1.01791901,0.320640171,1.084927061,6,4,60,6,24,30,75,0,20,2.833213344,3.496507561,1.014498746,1.672975626,NA,NA,0.507249373,890.8448516,890.8448516,890.8448516
P051,0-back,2.070471834,0.146188208,1.144312534,0.283065348,4.100042411,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,563.1972199,563.1972199,563.1972199
P051,1-back,1.691385908,0.399739838,0.872982685,0.439313063,3.10520849,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,725.1890298,725.1890298,725.1890298
P051,2-back,1.463544002,0.479212949,1.075267217,0.646896117,1.215437163,9,1,90,8,22,31,77.5,1,22,2.890371758,3.555348061,1.603805465,3.235990062,NA,NA,0.732217812,1039.053114,1039.053114,1039.053114
P051,3-back,1.651777939,0.316960143,1.033749805,0.580943607,1.756157758,9,1,90,4,26,35,87.5,5,30,3.091042453,3.761200116,2.074876914,3.28846403,NA,NA,0.573730705,1004.796478,1004.796478,1004.796478
P052,0-back,1.494452121,0.142227107,1.786478874,0.258464203,4.747319265,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,434.6987391,434.6987391,434.6987391
P052,1-back,1.313078048,0.139700269,0.88761108,0.299727226,3.608953392,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,483.7849541,483.7849541,483.7849541
P052,2-back,1.489083537,0.258520533,1.625213873,0.31567894,2.953856452,7,3,70,0,30,37,92.5,7,34,3.17805383,3.850147602,2.799089789,0.686129203,NA,NA,-0.13457565,590.7493361,590.7493361,590.7493361
P052,3-back,1.544959361,0.426078204,1.970434118,0.343859472,3.408227509,8,2,80,1,29,37,92.5,7,34,3.17805383,3.850147602,2.454230527,1.596761119,NA,NA,0.190681874,608.556605,608.556605,608.556605
P054,0-back,0.95805675,0.133970427,0.934387568,0.308348814,4.992902251,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,401.1335465,401.1335465,401.1335465
P054,1-back,1.633224373,0.249088965,0.800413325,0.367866333,6.215743027,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,504.2557327,504.2557327,504.2557327
P054,2-back,1.639309227,0.286041652,1.425440941,0.339536163,2.718496457,8,2,80,1,29,37,92.5,7,34,3.17805383,3.850147602,2.454230527,1.596761119,NA,NA,0.190681874,671.2927994,671.2927994,671.2927994
P054,3-back,2.022430092,0.1136627,1.605683122,0.264984747,1.93703261,5,5,50,1,29,34,85,4,28,3.044522438,3.713572067,1.797908594,1.212814631,NA,NA,0.107315689,827.9780146,827.9780146,827.9780146
P055,0-back,1.385173564,0.17622655,1.865099882,0.417800053,4.97601575,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,576.4784606,576.4784606,576.4784606
P055,1-back,2.13646983,0.245145169,0.724380344,0.382623938,3.961587513,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,663.9895834,663.9895834,663.9895834
P055,2-back,2.20604264,0.400515848,0.89375237,0.437305232,3.741404464,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,762.4927572,762.4927572,762.4927572
P055,3-back,1.172819728,0.539459995,2.715741215,0.590732881,3.655919665,7,3,70,3,27,34,85,4,28,3.044522438,3.713572067,1.684021252,1.862234035,NA,NA,0.369221505,760.5733359,760.5733359,760.5733359
P056,0-back,1.796663219,0.134473586,1.684469102,0.303210546,5.458909105,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,501.1518327,501.1518327,501.1518327
P056,1-back,1.985331778,0.330638662,0.788765395,0.404608898,5.141844359,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,605.2726886,605.2726886,605.2726886
P056,2-back,1.321149487,0.539626453,1.727663469,0.503042231,2.068874479,8,2,80,6,24,32,80,2,24,2.944438979,3.610917913,1.492851694,2.371831023,NA,NA,0.578531842,781.5951109,781.5951109,781.5951109
P056,3-back,1.437729682,0.510056033,2.078568029,0.488834077,2.995643794,10,0,100,5,25,35,87.5,5,30,3.091042453,3.761200116,2.472151896,7.856523747,NA,NA,0.833825883,755.2261755,755.2261755,755.2261755
P057,0-back,1.449747884,0.069229705,1.063222737,0.276883688,6.244369027,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,393.7521013,393.7521013,393.7521013
P057,1-back,1.70406667,0.272614647,1.932759958,0.332650084,4.329188177,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,575.3810042,575.3810042,575.3810042
P057,2-back,2.005293838,0.38470941,0.66180992,0.367509378,2.66644498,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,767.5873407,767.5873407,767.5873407
P057,3-back,1.537589071,0.363549357,1.435733716,0.416271327,1.738638554,5,5,50,2,28,33,82.5,3,26,2.995732274,3.663561646,1.476007403,1.44464169,NA,NA,0.24922729,801.7120814,801.7120814,801.7120814
P058,0-back,1.405400719,0.162032604,0.797223283,0.295425082,3.649802848,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,486.6224369,486.6224369,486.6224369
P058,1-back,1.624390322,0.237968067,2.097455984,0.323330781,3.602500321,7,3,70,2,28,35,87.5,5,30,3.091042453,3.761200116,1.904348509,1.69690851,NA,NA,0.277684505,566.6196847,566.6196847,566.6196847
P058,2-back,1.200115111,0.240272245,1.315093401,0.351081263,1.886217835,4,6,40,1,29,33,82.5,3,26,2.995732274,3.663561646,1.587739677,1.208698913,NA,NA,0.119380088,597.7245959,597.7245959,597.7245959
P058,3-back,1.354797583,0.250766943,1.86291767,0.271273661,2.19107519,5,5,50,2,28,33,82.5,3,26,2.995732274,3.663561646,1.476007403,1.44464169,NA,NA,0.24922729,553.505284,553.505284,553.505284
P059,0-back,1.05061558,0.044182849,0.898202605,0.246011282,3.201652742,8,2,80,0,30,38,95,8,36,3.218875825,3.891820298,3.027418978,0.786071085,NA,NA,-0.079509329,402.0350866,402.0350866,402.0350866
P059,1-back,1.163915162,0.08901477,1.61239146,0.273211082,3.247625217,8,2,80,1,29,37,92.5,7,34,3.17805383,3.850147602,2.454230527,1.596761119,NA,NA,0.190681874,450.6287081,450.6287081,450.6287081
P059,2-back,0.826285129,0.213629415,2.101812448,0.318073422,2.145060704,5,5,50,5,25,30,75,0,20,2.833213344,3.496507561,0.92524456,1.534245528,NA,NA,0.46262228,440.200456,440.200456,440.200456
P059,3-back,1.146053609,0.123823706,1.203212248,0.267830841,1.619222257,4,6,40,2,28,32,80,2,24,2.944438979,3.610917913,1.259906988,1.394342324,NA,NA,0.263847137,510.8853947,510.8853947,510.8853947
