subj_idx,param,rhat
P001,a(0-back),1.0027496407453025
P001,a(1-back),1.0040716854513407
P001,a(2-back),1.0079838214028325
P001,a(3-back),1.0052314041045822
P001,v(0-back),1.0002080498558632
P001,v(1-back),1.0005386528685007
P001,v(2-back),1.0021203304891853
P001,v(3-back),1.0003667657673958
P001,t(0-back),1.0022693341380675
P001,t(1-back),1.0040117926121732
P001,t(2-back),1.010844434488199
P001,t(3-back),1.005155451491367
P001,st(0-back),1.0011443686508297
P001,st(1-back),1.0027033922227027
P001,st(2-back),1.00667395423791
P001,st(3-back),1.0035406241947138
P002,a(0-back),1.0263711651235035
P002,a(1-back),1.003101437833137
P002,a(2-back),1.0114483858092647
P002,a(3-back),1.0040238884665011
P002,v(0-back),1.0148769873676726
P002,v(1-back),1.0079746001693837
P002,v(2-back),1.005470172963093
P002,v(3-back),1.0036911951510874
P002,t(0-back),1.0198707653099213
P002,t(1-back),1.0096145518925117
P002,t(2-back),1.0142544655631343
P002,t(3-back),1.0042952685261421
P002,st(0-back),1.0014241041537397
P002,st(1-back),1.0088920536400068
P002,st(2-back),1.0122629391803513
P002,st(3-back),1.0034702335980723
P003,a(0-back),1.04000899572124
P003,a(1-back),1.0297270732148889
P003,a(2-back),1.0098057314527862
P003,a(3-back),1.005085782069323
P003,v(0-back),1.021505325230642
P003,v(1-back),1.0092928126533411
P003,v(2-back),1.0087639421564174
P003,v(3-back),1.0030736283057444
P003,t(0-back),1.0292105135946303
P003,t(1-back),1.0277589162351304
P003,t(2-back),1.0126196940794305
P003,t(3-back),1.0084404512483076
P003,st(0-back),1.0032731612432644
P003,st(1-back),1.007181026580014
P003,st(2-back),1.010324046239964
P003,st(3-back),1.0040047980150435
P004,a(0-back),1.0208600356922573
P004,a(1-back),1.0285229506748144
P004,a(2-back),1.0018631321469122
P004,a(3-back),1.0007809605533247
P004,v(0-back),1.0045024285568076
P004,v(1-back),1.0069402037739075
P004,v(2-back),1.0013819703508853
P004,v(3-back),1.0001712168652748
P004,t(0-back),1.0198186841883594
P004,t(1-back),1.0159183665373617
P004,t(2-back),1.0024149582757071
P004,t(3-back),1.001528352678861
P004,st(0-back),1.004070529069608
P004,st(1-back),1.0041478840976947
P004,st(2-back),1.0017462414686804
P004,st(3-back),1.0011089775772266
P005,a(0-back),1.0170306120434056
P005,a(1-back),1.006444549071504
P005,a(2-back),1.0042400953078192
P005,a(3-back),1.0019691933084445
P005,v(0-back),1.0068271816280703
P005,v(1-back),1.0122200977750746
P005,v(2-back),1.0023682753437126
P005,v(3-back),1.0011178016091655
P005,t(0-back),1.0142431465164723
P005,t(1-back),1.0048196347076954
P005,t(2-back),1.0025950774059527
P005,t(3-back),1.0028372793773088
P005,st(0-back),1.0047554178249352
P005,st(1-back),1.00747533137677
P005,st(2-back),1.001423073739358
P005,st(3-back),1.003346733398405
P006,a(0-back),1.0240231442331234
P006,a(1-back),1.0117808799901837
P006,a(2-back),1.0091282619583297
P006,a(3-back),1.0034105249229373
P006,v(0-back),1.001799589688645
P006,v(1-back),1.0050938186713496
P006,v(2-back),1.00468937828267
P006,v(3-back),1.000985383824225
P006,t(0-back),1.0184603908390946
P006,t(1-back),1.0088154482237957
P006,t(2-back),1.0102231382795006
P006,t(3-back),1.0059060306026428
P006,st(0-back),1.00379013999513
P006,st(1-back),1.003134582078687
P006,st(2-back),1.003990619090256
P006,st(3-back),1.0038669216472507
P007,a(0-back),1.0107751580360218
P007,a(1-back),1.0038739700688097
P007,a(2-back),1.008224892791485
P007,a(3-back),1.0080815166733565
P007,v(0-back),1.004998854374799
P007,v(1-back),1.0003924300031901
P007,v(2-back),1.005543628034507
P007,v(3-back),1.005020035505257
P007,t(0-back),1.0098031776333942
P007,t(1-back),1.0045494046440564
P007,t(2-back),1.0067049602155693
P007,t(3-back),1.0078371682681575
P007,st(0-back),1.0017523351135325
P007,st(1-back),1.0014049391945348
P007,st(2-back),1.007014893937717
P007,st(3-back),1.0012699893442003
P008,a(0-back),1.0147147898240003
P008,a(1-back),1.0036663600219826
P008,a(2-back),1.0233113365273887
P008,a(3-back),1.010517313075501
P008,v(0-back),1.008387270501234
P008,v(1-back),1.0031935330544304
P008,v(2-back),1.0068359174282808
P008,v(3-back),1.0066443977291448
P008,t(0-back),1.0200945053243136
P008,t(1-back),1.007141138042487
P008,t(2-back),1.0216851011846446
P008,t(3-back),1.011180992793691
P008,st(0-back),1.0078050536048373
P008,st(1-back),1.0044984603927238
P008,st(2-back),1.0057772648989498
P008,st(3-back),1.0096453928790012
P009,a(0-back),1.0033032591768587
P009,a(1-back),1.0012574631825248
P009,a(2-back),1.0020602743752403
P009,a(3-back),1.001025610271115
P009,v(0-back),1.0004968644193761
P009,v(1-back),0.9998613702122348
P009,v(2-back),1.0014032549176528
P009,v(3-back),1.0007974843254415
P009,t(0-back),1.00392157247748
P009,t(1-back),1.0021821109503024
P009,t(2-back),1.0033716612785784
P009,t(3-back),1.0017912315043829
P009,st(0-back),1.001818376258654
P009,st(1-back),1.002046777624706
P009,st(2-back),1.002863199736936
P009,st(3-back),1.0015237413977605
P010,a(0-back),1.0012661818888273
P010,a(1-back),1.004200367535676
P010,a(2-back),1.0093153224310099
P010,a(3-back),1.0358691023592907
P010,v(0-back),1.0009993329537625
P010,v(1-back),1.001452183748581
P010,v(2-back),1.0048989226478269
P010,v(3-back),1.0178856748398386
P010,t(0-back),1.0017939954060726
P010,t(1-back),1.0037681116262713
P010,t(2-back),1.0101656474991572
P010,t(3-back),1.0372208362905766
P010,st(0-back),0.9999665597888729
P010,st(1-back),1.0002230832800956
P010,st(2-back),1.0099837650247165
P010,st(3-back),1.0371670695792112
P011,a(0-back),1.0374559348856474
P011,a(1-back),1.0113400496133031
P011,a(2-back),1.0010840980023568
P011,a(3-back),1.0027606826315905
P011,v(0-back),1.0110660735413923
P011,v(1-back),1.007763780706461
P011,v(2-back),1.000167864452306
P011,v(3-back),1.000240670929644
P011,t(0-back),1.0329688516901174
P011,t(1-back),1.008384849457764
P011,t(2-back),1.0008470817267816
P011,t(3-back),1.0020894537134044
P011,st(0-back),1.007307298715011
P011,st(1-back),1.0020881994332331
P011,st(2-back),1.0003538290090317
P011,st(3-back),1.0003808284224844
P012,a(0-back),1.0243280155928682
P012,a(1-back),1.0094472502568708
P012,a(2-back),1.0093605466940774
P012,a(3-back),1.0023760013868417
P012,v(0-back),1.006047559452732
P012,v(1-back),1.003134485045532
P012,v(2-back),1.00789670288365
P012,v(3-back),1.000761509461183
P012,t(0-back),1.0236168445844944
P012,t(1-back),1.0087788569384377
P012,t(2-back),1.0068678075532334
P012,t(3-back),1.0024390603284148
P012,st(0-back),1.007078071001638
P012,st(1-back),1.0004620968524813
P012,st(2-back),1.005342004189592
P012,st(3-back),1.0018651166535268
P013,a(0-back),1.0245081641256328
P013,a(1-back),1.0066806713780039
P013,a(2-back),1.0024017283536983
P013,a(3-back),1.0023170559116845
P013,v(0-back),1.0083477732481587
P013,v(1-back),1.0021915410463762
P013,v(2-back),1.0001111589008373
P013,v(3-back),1.0001570598883123
P013,t(0-back),1.0238098072236186
P013,t(1-back),1.0058468677519414
P013,t(2-back),1.0031696829703387
P013,t(3-back),1.0023550796210896
P013,st(0-back),1.004771035030629
P013,st(1-back),1.0006975727600445
P013,st(2-back),1.0013599700298075
P013,st(3-back),1.0011436615096558
P014,a(0-back),1.0168343590076128
P014,a(1-back),1.0056864582863074
P014,a(2-back),1.0023496373344398
P014,a(3-back),1.0026928513494042
P014,v(0-back),1.0038694367651435
P014,v(1-back),1.002397136093871
P014,v(2-back),1.0006192773590152
P014,v(3-back),1.0008557782794407
P014,t(0-back),1.0179813062210425
P014,t(1-back),1.0066565929543567
P014,t(2-back),1.0025065723375959
P014,t(3-back),1.0035991047562258
P014,st(0-back),1.0050052932167965
P014,st(1-back),1.0014671903325525
P014,st(2-back),1.0018235619607727
P014,st(3-back),1.0023384118659786
P015,a(0-back),1.0047540996552944
P015,a(1-back),1.0049580937200122
P015,a(2-back),1.0027766127889648
P015,a(3-back),1.0044388340151673
P015,v(0-back),1.0022081816526405
P015,v(1-back),1.0047959704975036
P015,v(2-back),1.0005775952716678
P015,v(3-back),1.0028778582247706
P015,t(0-back),1.0050699373040002
P015,t(1-back),1.0052819191519748
P015,t(2-back),1.001853926068222
P015,t(3-back),1.006641125041856
P015,st(0-back),1.0014933122358969
P015,st(1-back),1.003013427359355
P015,st(2-back),1.001617333849767
P015,st(3-back),1.0049566889348545
P016,a(0-back),1.0165010895292477
P016,a(1-back),1.025945490088294
P016,a(2-back),1.002518069472318
P016,a(3-back),1.0048146327098582
P016,v(0-back),1.0096852407888055
P016,v(1-back),1.003346506359051
P016,v(2-back),1.0032300718075409
P016,v(3-back),1.0024234348747794
P016,t(0-back),1.0111969836050925
P016,t(1-back),1.0226416933731637
P016,t(2-back),1.002439341839984
P016,t(3-back),1.004720316947913
P016,st(0-back),1.0007920613165455
P016,st(1-back),1.0060670813988728
P016,st(2-back),1.002554108432822
P016,st(3-back),1.0025437447810135
P017,a(0-back),1.0048036859139304
P017,a(1-back),1.0013991966575326
P017,a(2-back),1.0049487602294205
P017,a(3-back),1.004244248655969
P017,v(0-back),1.0002234240594234
P017,v(1-back),1.000547537413996
P017,v(2-back),1.0005294184809173
P017,v(3-back),1.0011994971321334
P017,t(0-back),1.0059360918686457
P017,t(1-back),1.0023314149186244
P017,t(2-back),1.0043690778923522
P017,t(3-back),1.0047086896463566
P017,st(0-back),1.0001432626418927
P017,st(1-back),1.000338124243992
P017,st(2-back),1.00058567511014
P017,st(3-back),1.0044515271132872
P018,a(0-back),1.009686012327935
P018,a(1-back),1.0033508384516172
P018,a(2-back),1.0024291194436319
P018,a(3-back),1.0032272036669727
P018,v(0-back),1.0033383445538029
P018,v(1-back),1.0027317902656254
P018,v(2-back),1.0009001877591128
P018,v(3-back),1.0005043442184673
P018,t(0-back),1.0115454991580615
P018,t(1-back),1.0049590009654117
P018,t(2-back),1.0021844782757434
P018,t(3-back),1.0041744143423226
P018,st(0-back),1.0037696816618205
P018,st(1-back),1.002841045006301
P018,st(2-back),1.0010971009417902
P018,st(3-back),1.0026504513779777
P019,a(0-back),1.0050289748621775
P019,a(1-back),1.0130739075132702
P019,a(2-back),1.0025434580942771
P019,a(3-back),1.0035460846172437
P019,v(0-back),1.0022886678885456
P019,v(1-back),1.006405792221507
P019,v(2-back),1.0001772535408624
