6878.250295  	5035.995501  	6565.96033  	4524.77962  	6848.737473  
6878.730778  	4999.054595  	6581.49106  	4516.34251  	6837.606394  
6877.284296  	5014.730494  	6569.804892  	4525.920448  	6825.124949  
6878.554268  	5013.838832  	6574.220826  	4514.482568  	6840.268139  
6877.292202  	5003.28419  	6574.888576  	4516.342937  	6857.283125  
6878.240373  	5020.84883  	6608.522568  	4520.232823  	6849.715287  
6885.783855  	5023.014369  	6607.481987  	4525.980542  	6855.365762  
6889.151654  	5036.25999  	6628.891951  	4516.719717  	6861.1977  
6886.816567  	5050.553596  	6615.217198  	4515.889015  	6843.989752  
6879.829295  	5018.459358  	6610.757921  	4518.725783  	6875.06502  
6879.333268  	5026.276601  	6603.16888  	4508.95992  	6832.40518  
6881.474541  	4986.431758  	6581.732264  	4516.452943  	6857.36484  
6888.272548  	5001.958825  	6578.340732  	4521.648753  	6870.754464  
6885.093325  	5028.755964  	6597.83205  	4519.30445  	6850.408143  
6889.553797  	5041.139207  	6588.185487  	4519.240783  	6848.758017  
6893.878335  	5027.601455  	6618.573902  	4531.93548  	6867.664301  
6882.876699  	5046.273178  	6583.736094  	4523.958501  	6845.559908  
6887.371102  	5005.58246  	6591.039493  	4518.506339  	6855.51101  
6885.854905  	5010.382825  	6569.852516  	4521.653235  	6832.643826  
6880.343817  	5032.932572  	6579.006417  	4512.565934  	6851.868348  
6875.596325  	5001.101834  	6566.334885  	4516.856698  	6856.815201  
6879.093171  	4992.253694  	6583.901615  	4513.227081  	6852.554703  
6871.946641  	5003.340447  	6570.945152  	4511.061602  	6828.412085  
6868.275707  	4978.341483  	6556.115716  	4522.334024  	6825.056779  
6862.621467  	5012.866453  	6572.684905  	4517.820984  	6839.972798  
6875.005266  	5003.237571  	6570.74577  	4522.610254  	6842.302216  
6873.410421  	4987.80819  	6578.665386  	4511.443854  	6839.246724  
6880.060335  	5021.962724  	6575.368778  	4512.409352  	6840.750476  
6895.066504  	4999.119482  	6573.179868  	4519.070007  	6845.433615  
6880.884438  	5022.368186  	6592.888193  	4510.433243  	6846.637337  
6893.167372  	5041.350289  	6579.37195  	4511.674759  	6834.165395  
6877.482898  	5029.764123  	6573.177547  	4508.943123  	6835.287224  
6876.072684  	5032.2634  	6590.631841  	4523.194115  	6853.448402  
6882.580806  	4998.471134  	6591.25559  	4516.292425  	6841.98043  
6879.133665  	4997.743563  	6573.542583  	4536.270089  	6867.961917  
6899.0923  	5028.251839  	6602.848052  	4524.746772  	6870.150939  
6891.960235  	5002.596256  	6580.829662  	4524.862532  	6857.238269  
6904.074813  	5014.546628  	6592.386831  	4523.143128  	6870.384392  
6898.989877  	4998.126527  	6610.709218  	4529.852777  	6885.336323  
6890.271181  	4996.894636  	6617.04888  	4520.21804  	6862.339024  
